"word1","freq"
"near",82
"offer",82
"paper",82
"son",82
"turn",82
"york",82
"card",81
"child",81
"example",81
"guy",81
"hot",81
"issue",81
"officials",81
"per",81
"question",81
"san",81
"store",81
"town",81
"walk",81
"wasnt",81
"hate",80
"include",80
"meeting",80
"picture",80
"points",80
"report",80
"short",80
"tuesday",80
"-year-old",79
"awesome",79
"board",79
"process",79
"road",79
"single",79
"six",79
"third",79
"yeah",79
"death",78
"goes",78
"pick",78
"video",78
"war",78
"worked",78
"church",77
"doesn’t",77
"federal",77
"feeling",77
"hour",77
"thursday",77
"began",76
"d",76
"door",76
"enjoy",76
"fall",76
"gave",76
"mom",76
"price",76
"seems",76
"west",76
"beer",75
"lives",75
"recent",75
"schools",75
"theyre",75
"trip",75
"washington",75
"wish",75
"word",75
"added",74
"brought",74
"general",74
"services",74
"spend",74
"won",74
"words",74
"age",73
"birthday",73
"body",73
"coach",73
"expected",73
"inside",73
"perhaps",73
"plans",73
"clear",72
"girls",72
"oil",72
"reading",72
"shot",72
"strong",72
"continue",71
"fans",71
"human",71
"known",71
"living",71
"ones",71
"shows",71
"stories",71
"tax",71
"understand",71
"wednesday",71
"eyes",70
"league",70
"learn",70
"meet",70
"spring",70
"father",69
"finally",69
"jobs",69
"longer",69
"looks",69
"loved",69
"online",69
"played",69
"site",69
"sweet",69
"can’t",68
"control",68
"definitely",68
"drive",68
"finished",68
"level",68
"obama",68
"seven",68
"tv",68
"twitter",68
"wrote",68
"billion",67
"california",67
"died",67
"dinner",67
"education",67
"goal",67
"havent",67
"held",67
"interesting",67
"led",67
"north",67
"ok",67
"players",67
"record",67
"whatever",67
"allow",66
"blue",66
"club",66
"economic",66
"entire",66
"excited",66
"happen",66
"sleep",66
"space",66
"visit",66
"decision",65
"form",65
"hair",65
"jesus",65
"nearly",65
"tried",65
"usually",65
"whose",65
"works",65
"--",64
"brown",64
"color",64
"cover",64
"cup",64
"david",64
"district",64
"guess",64
"ohio",64
"poor",64
"seem",64
"wife",64
"became",63
"challenge",63
"companies",63
"design",63
"difficult",63
"football",63
"gone",63
"hospital",63
"lots",63
"major",63
"player",63
"table",63
"takes",63
"action",62
"blood",62
"christmas",62
"conference",62
"goals",62
"knows",62
"step",62
"voice",62
"wonder",62
"wonderful",62
"bed",61
"boy",61
"break",61
"cleveland",61
"jersey",61
"la",61
"piece",61
"plus",61
"simply",61
"worth",61
"ahead",60
"clean",60
"force",60
"hall",60
"huge",60
"loss",60
"received",60
"research",60
"rock",60
"round",60
"website",60
"based",59
"cause",59
"characters",59
"gonna",59
"james",59
"land",59
"leaders",59
"learning",59
"likely",59
"mark",59
"sit",59
"situation",59
"weve",59
"career",58
"east",58
"eight",58
"financial",58
"fine",58
"forget",58
"main",58
"met",58
"middle",58
"simple",58
"sound",58
"study",58
"teams",58
"union",58
"vote",58
"wall",58
"wasn’t",58
"air",57
"exactly",57
"giving",57
"haha",57
"press",57
"return",57
"shop",57
"super",57
"w",57
"waiting",57
"ways",57
"wine",57
"…",56
"bar",56
"begin",56
"bottom",56
"chief",56
"couldnt",56
"created",56
"data",56
"despite",56
"development",56
"due",56
"economy",56
"husband",56
"key",56
"manager",56
"medical",56
"moved",56
"race",56
"seeing",56
"send",56
"weather",56
"character",55
"crazy",55
"involved",55
"note",55
"relationship",55
"student",55
"turned",55
"areas",54
"c",54
"campaign",54
"changes",54
"dance",54
"focus",54
"low",54
"moving",54
"natural",54
"paul",54
"pieces",54
"problems",54
"quality",54
"save",54
"sent",54
"sounds",54
"teacher",54
"alone",53
"certain",53
"energy",53
"evening",53
"hold",53
"june",53
"michael",53
"page",53
"private",53
"projects",53
"republican",53
"rights",53
"stand",53
"training",53
"united",53
"act",52
"america",52
"amount",52
"budget",52
"busy",52
"changed",52
"choice",52
"floor",52
"fresh",52
"funny",52
"heat",52
"missed",52
"pictures",52
"political",52
"role",52
"allowed",51
"answer",51
"anyway",51
"born",51
"boys",51
"council",51
"current",51
"employees",51
"facebook",51
"join",51
"meant",51
"provide",51
"seemed",51
"staff",51
"toward",51
"upon",51
"wouldnt",51
"yesterday",51
"bank",50
"ended",50
"hands",50
"luck",50
"none",50
"particular",50
"pass",50
"passed",50
"shes",50
"similar",50
"society",50
"test",50
"type",50
"attention",49
"b",49
"ball",49
"beyond",49
"chicken",49
"coffee",49
"complete",49
"dog",49
"extra",49
"g",49
"growth",49
"hell",49
"issues",49
"listen",49
"places",49
"security",49
"sitting",49
"spending",49
"stage",49
"technology",49
"written",49
"annual",48
"details",48
"dress",48
"miles",48
"missing",48
"reported",48
"sad",48
"serious",48
"sign",48
"welcome",48
"winter",48
"youll",48
"bowl",47
"cold",47
"completely",47
"consider",47
"currently",47
"dark",47
"events",47
"feels",47
"feet",47
"fight",47
"fish",47
"ground",47
"helped",47
"interested",47
"judge",47
"kept",47
"lady",47
"leaving",47
"lose",47
"louis",47
"mine",47
"nature",47
"safe",47
"sister",47
"success",47
"tweet",47
"calls",46
"certainly",46
"executive",46
"fell",46
"figure",46
"glad",46
"grow",46
"ideas",46
"interest",46
"international",46
"kid",46
"killed",46
"member",46
"mike",46
"ran",46
"receive",46
"safety",46
"sat",46
"speak",46
"track",46
"trust",46
"workers",46
"central",45
"credit",45
"dead",45
"defense",45
"die",45
"doctor",45
"earlier",45
"expect",45
"fan",45
"garden",45
"gives",45
"increase",45
"learned",45
"officers",45
"opening",45
"paid",45
"particularly",45
"present",45
"rate",45
"restaurant",45
"review",45
"sales",45
"senate",45
"smith",45
"statement",45
"sun",45
"texas",45
"title",45
"tough",45
"truth",45
"announced",44
"apparently",44
"aside",44
"bay",44
"brother",44
"cheese",44
"choose",44
"daily",44
"dr",44
"driving",44
"lunch",44
"opportunity",44
"realize",44
"records",44
"reports",44
"rose",44
"sorry",44
"straight",44
"thoughts",44
"value",44
"various",44
"average",43
"band",43
"built",43
"cards",43
"chris",43
"comment",43
"considered",43
"draft",43
"email",43
"eye",43
"finish",43
"july",43
"king",43
"lived",43
"overall",43
"photo",43
"portland",43
"product",43
"putting",43
"readers",43
"released",43
"results",43
"sale",43
"salt",43
"serve",43
"served",43
"throughout",43
"tickets",43
"wear",43
"weird",43
"absolutely",42
"agreed",42
"arent",42
"base",42
"beat",42
"bought",42
"calling",42
"crowd",42
"deep",42
"earth",42
"eating",42
"fit",42
"followed",42
"gift",42
"happens",42
"higher",42
"kitchen",42
"marriage",42
"minute",42
"novel",42
"officer",42
"okay",42
"onto",42
"opened",42
"original",42
"photos",42
"potential",42
"prices",42
"products",42
"radio",42
"reality",42
"regular",42
"remains",42
"result",42
"river",42
"spread",42
"star",42
"starts",42
"totally",42
"view",42
"access",41
"afternoon",41
"beginning",41
"cake",41
"cars",41
"crime",41
"dad",41
"de",41
"helping",41
"hoping",41
"january",41
"leaves",41
"lower",41
"nine",41
"quickly",41
"residents",41
"senior",41
"shit",41
"taste",41
"telling",41
"via",41
"wearing",41
"build",40
"costs",40
"dream",40
"eventually",40
"except",40
"french",40
"groups",40
"headed",40
"imagine",40
"immediately",40
"included",40
"includes",40
"industry",40
"items",40
"lovely",40
"n",40
"named",40
"older",40
"oregon",40
"p",40
"peace",40
"picked",40
"planned",40
"pop",40
"production",40
"q",40
"quick",40
"runs",40
"scene",40
"signed",40
"sold",40
"sort",40
"spot",40
"stock",40
"style",40
"teachers",40
"version",40
"victory",40
"walking",40
"ass",39
"biggest",39
"citys",39
"closed",39
"cute",39
"damn",39
"dear",39
"families",39
"gas",39
"hotel",39
"movement",39
"pain",39
"posts",39
"practice",39
"pressure",39
"release",39
"romney",39
"section",39
"sell",39
"size",39
"sports",39
"total",39
"traffic",39
"wedding",39
"apple",38
"arrested",38
"association",38
"author",38
"benefits",38
"cases",38
"century",38
"charged",38
"christian",38
"clothes",38
"committee",38
"date",38
"drink",38
"drop",38
"fear",38
"festival",38
"florida",38
"forever",38
"hello",38
"ice",38
"investigation",38
"lake",38
"liked",38
"lord",38
"nd",38
"neighborhood",38
"notes",38
"position",38
"prison",38
"pull",38
"push",38
"raised",38
"reasons",38
"rules",38
"skin",38
"songs",38
"steve",38
"ability",37
"accept",37
"asking",37
"attorney",37
"contact",37
"difference",37
"double",37
"faith",37
"fellow",37
"folks",37
"fruit",37
"george",37
"growing",37
"homes",37
"insurance",37
"knowledge",37
"latest",37
"m",37
"mention",37
"message",37
"mostly",37
"museum",37
"orange",37
"peter",37
"policy",37
"seat",37
"session",37
"showed",37
"station",37
"supposed",37
"taxes",37
"television",37
"walked",37
"winning",37
"worst",37
"addition",36
"address",36
"catch",36
"count",36
"denver",36
"election",36
"evidence",36
"leading",36
"los",36
"managed",36
"memory",36
"military",36
"normal",36
"previous",36
"pulled",36
"raise",36
"reach",36
"required",36
"response",36
"shape",36
"stick",36
"tired",36
"touch",36
"ur",36
"writer",36
"administration",35
"album",35
"americans",35
"award",35
"bag",35
"box",35
"chicago",35
"chocolate",35
"christ",35
"collection",35
"comments",35
"daughter",35
"dogs",35
"everybody",35
"failed",35
"fast",35
"february",35
"healthy",35
"individual",35
"interview",35
"joe",35
"lack",35
"library",35
"losing",35
"management",35
"mothers",35
"numbers",35
"opinion",35
"performance",35
"plant",35
"pounds",35
"protect",35
"rain",35
"range",35
"rich",35
"scored",35
"sugar",35
"talked",35
"term",35
"theme",35
"tom",35
"treatment",35
"trouble",35
"voters",35
"vs",35
"wanna",35
"warm",35
"ya",35
"youve",35
"account",34
"angeles",34
"anymore",34
"arm",34
"arrived",34
"avenue",34
"charge",34
"closer",34
"continued",34
"cream",34
"creating",34
"december",34
"designed",34
"downtown",34
"drug",34
"dry",34
"effort",34
"enjoyed",34
"hearing",34
"hill",34
"holding",34
"language",34
"link",34
"mix",34
"necessary",34
"prayer",34
"realized",34
"rise",34
"secret",34
"sex",34
"showing",34
"sick",34
"somewhere",34
"speaking",34
"standing",34
"taught",34
"terms",34
"turns",34
"uk",34
"worry",34
"writers",34
"‘",33
"actual",33
"attempt",33
"background",33
"block",33
"businesses",33
"camera",33
"camp",33
"china",33
"classes",33
"corner",33
"culture",33
"dollars",33
"easier",33
"english",33
"foundation",33
"fuck",33
"glass",33
"gold",33
"income",33
"legal",33
"marijuana",33
"milk",33
"millions",33
"official",33
"partner",33
"parts",33
"posted",33
"provided",33
"quarterback",33
"region",33
"risk",33
"shots",33
"spirit",33
"spokesman",33
"steps",33
"thousands",33
"trade",33
"train",33
"window",33
"winner",33
"wow",33
"attack",32
"avoid",32
"bringing",32
"computer",32
"content",32
"covered",32
"doubt",32
"fashion",32
"filled",32
"gotten",32
"limited",32
"london",32
"loving",32
"lucky",32
"mayor",32
"model",32
"modern",32
"multiple",32
"nation",32
"obviously",32
"options",32
"parks",32
"plastic",32
"primary",32
"quiet",32
"r",32
"reached",32
"republicans",32
"resources",32
"revenue",32
"shoes",32
"skills",32
"stores",32
"successful",32
"throw",32
"tour",32
"traditional",32
"truly",32
"unless",32
"watched",32
"weight",32
"wild",32
"worse",32
"agency",31
"appears",31
"arms",31
"arts",31
"benefit",31
"blues",31
"butter",31
"celebrate",31
"charges",31
"clearly",31
"cooking",31
"countries",31
"direction",31
"effect",31
"followers",31
"greater",31
"happening",31
"hurt",31
"knowing",31
"leader",31
"listening",31
"measure",31
"network",31
"option",31
"period",31
"planning",31
"potatoes",31
"programs",31
"random",31
"returned",31
"robert",31
"screen",31
"seriously",31
"slightly",31
"smile",31
"square",31
"stars",31
"surprised",31
"teaching",31
"travel",31
"twice",31
"whos",31
"wide",31
"won’t",31
"adult",30
"agent",30
"appeared",30
"appreciate",30
"audience",30
"baking",30
"brain",30
"british",30
"bus",30
"cash",30
"caught",30
"challenges",30
"civil",30
"commission",30
"congrats",30
"construction",30
"contract",30
"creative",30
"europe",30
"exciting",30
"grand",30
"guard",30
"heavy",30
"holiday",30
"holy",30
"letter",30
"machine",30
"marketing",30
"match",30
"offers",30
"patients",30
"placed",30
"property",30
"proud",30
"quarter",30
"responsible",30
"rule",30
"setting",30
"shared",30
"shooting",30
"shopping",30
"specific",30
"stuck",30
"suddenly",30
"surprise",30
"ten",30
"thomas",30
"valley",30
"web",30
"willing",30
"x",30
"adding",29
"army",29
"bands",29
"beach",29
"campus",29
"compared",29
"continues",29
"cook",29
"coverage",29
"enter",29
"environment",29
"episode",29
"etc",29
"excellent",29
"flowers",29
"fourth",29
"gorgeous",29
"grew",29
"highly",29
"hills",29
"improve",29
"internet",29
"lines",29
"loves",29
"martin",29
"matt",29
"names",29
"nobody",29
"o",29
"october",29
"offered",29
"owner",29
"paying",29
"pink",29
"promised",29
"rd",29
"respect",29
"richard",29
"ryan",29
"search",29
"singing",29
"snow",29
"soft",29
"stadium",29
"standard",29
"streets",29
"struck",29
"tea",29
"wouldn’t",29
"apartment",28
"article",28
"artists",28
"balance",28
"baseball",28
"basically",28
"basis",28
"bear",28
"bright",28
"cancer",28
"cast",28
"chair",28
"competition",28
"customers",28
"cuts",28
"dc",28
"democrats",28
"dozen",28
"fair",28
"feature",28
"features",28
"finding",28
"freedom",28
"fund",28
"global",28
"guilty",28
"hanging",28
"hits",28
"image",28
"injury",28
"junior",28
"laws",28
"letting",28
"moments",28
"movies",28
"neither",28
"nights",28
"noticed",28
"pool",28
"popular",28
"positive",28
"recipe",28
"remove",28
"science",28
"sky",28
"smoke",28
"solid",28
"southern",28
"surgery",28
"target",28
"tiny",28
"wood",28
"arizona",27
"august",27
"awards",27
"beauty",27
"begins",27
"bigger",27
"boston",27
"breakfast",27
"breaking",27
"broke",27
"buying",27
"candidates",27
"common",27
"conversation",27
"debt",27
"decades",27
"discussion",27
"draw",27
"easily",27
"ends",27
"entertainment",27
"exchange",27
"experienced",27
"famous",27
"feb",27
"films",27
"giant",27
"hasnt",27
"helps",27
"heres",27
"info",27
"island",27
"j",27
"keeping",27
"larger",27
"magic",27
"majority",27
"meaning",27
"net",27
"november",27
"omg",27
"organizations",27
"paint",27
"plenty",27
"possibly",27
"produce",27
"professional",27
"proposed",27
"rates",27
"ride",27
"score",27
"scott",27
"selling",27
"somehow",27
"spoke",27
"towards",27
"tree",27
"usual",27
"variety",27
"vice",27
"violence",27
"windows",27
"wins",27
"agreement",26
"answers",26
"anywhere",26
"approach",26
"approved",26
"artist",26
"basic",26
"battle",26
"bills",26
"ceo",26
"channel",26
"classic",26
"code",26
"concert",26
"decisions",26
"distance",26
"everyday",26
"expensive",26
"fantastic",26
"fat",26
"fighting",26
"firm",26
"fully",26
"funds",26
"grade",26
"impact",26
"isn’t",26
"jack",26
"k",26
"likes",26
"mad",26
"mountain",26
"oven",26
"passing",26
"pattern",26
"physical",26
"plants",26
"playoffs",26
"powerful",26
"prepared",26
"presidential",26
"prize",26
"purchase",26
"purpose",26
"request",26
"require",26
"ring",26
"route",26
"row",26
"schedule",26
"silver",26
"slowly",26
"smaller",26
"systems",26
"text",26
"thinks",26
"tim",26
"tune",26
"types",26
"typically",26
"unfortunately",26
"yards",26
"younger",26
"active",25
"activities",25
"additional",25
"apart",25
"becoming",25
"ben",25
"broken",25
"cats",25
"charles",25
"chinese",25
"colorado",25
"colors",25
"concerned",25
"contest",25
"copy",25
"core",25
"crew",25
"cross",25
"decade",25
"described",25
"desire",25
"discovered",25
"dreams",25
"enforcement",25
"environmental",25
"everywhere",25
"faces",25
"falling",25
"familiar",25
"fill",25
"focused",25
"fucking",25
"hitting",25
"hopefully",25
"hopes",25
"illinois",25
"jim",25
"juice",25
"justice",25
"kill",25
"laugh",25
"mission",25
"murder",25
"pace",25
"parking",25
"patient",25
"picks",25
"progress",25
"promise",25
"prosecutors",25
"protection",25
"recognize",25
"remain",25
"shall",25
"source",25
"speed",25
"stood",25
"storm",25
"studio",25
"theyve",25
"threat",25
"till",25
"ultimately",25
"vehicle",25
"videos",25
"votes",25
"waste",25
"williams",25
"ad",24
"adam",24
"agree",24
"authorities",24
"bags",24
"bell",24
"bet",24
"bible",24
"bridge",24
"cell",24
"changing",24
"chose",24
"congress",24
"digital",24
"entered",24
"fantasy",24
"figures",24
"flow",24
"fly",24
"francisco",24
"generation",24
"golden",24
"google",24
"greatest",24
"horse",24
"houses",24
"hunger",24
"identified",24
"illegal",24
"inspired",24
"jan",24
"joined",24
"mental",24
"mixed",24
"noted",24
"ocean",24
"offensive",24
"organization",24
"pack",24
"pepper",24
"perform",24
"phoenix",24
"pizza",24
"possibility",24
"published",24
"reduce",24
"seeking",24
"shown",24
"sing",24
"specifically",24
"stayed",24
"stopped",24
"subject",24
"thus",24
"trees",24
"turkey",24
"unique",24
"western",24
"wind",24
"advantage",23
"al",23
"angels",23
"anger",23
"animals",23
"anniversary",23
"ate",23
"aware",23
"blame",23
"brothers",23
"capital",23
"carry",23
"chapter",23
"circumstances",23
"cleaning",23
"clients",23
"craft",23
"critical",23
"customer",23
"debate",23
"determine",23
"direct",23
"division",23
"doctors",23
"drinking",23
"efforts",23
"explain",23
"extremely",23
"foods",23
"foot",23
"forced",23
"gay",23
"governor",23
"grass",23
"guest",23
"guests",23
"hi",23
"hollywood",23
"increased",23
"indeed",23
"investors",23
"irish",23
"joy",23
"kansas",23
"keeps",23
"launch",23
"lee",23
"location",23
"meat",23
"mentioned",23
"mess",23
"mouth",23
"mrs",23
"mystery",23
"neighbors",23
"nervous",23
"newspaper",23
"nfl",23
"opportunities",23
"pair",23
"panel",23
"perfectly",23
"policies",23
"pour",23
"presented",23
"professor",23
"proposal",23
"recommend",23
"relationships",23
"rep",23
"resident",23
"riding",23
"roll",23
"santa",23
"sees",23
"september",23
"sharing",23
"slow",23
"software",23
"stone",23
"talks",23
"tells",23
"ticket",23
"trial",23
"whenever",23
"afraid",22
"ah",22
"airport",22
"appear",22
"attacks",22
"behavior",22
"bitch",22
"boring",22
"brian",22
"brings",22
"browns",22
"bunch",22
"button",22
"candidate",22
"championship",22
"co",22
"coast",22
"complex",22
"concern",22
"conditions",22
"contributed",22
"couldn’t",22
"damage",22
"declined",22
"democratic",22
"disease",22
"display",22
"drama",22
"elsewhere",22
"f",22
"filed",22
"flight",22
"friendly",22
"gotta",22
"grey",22
"ha",22
"highest",22
"inc",22
"israel",22
"jackson",22
"jason",22
"johnson",22
"jones",22
"kick",22
"laughing",22
"letters",22
"lights",22
"magazine",22
"married",22
"metal",22
"miami",22
"michigan",22
"ms",22
"otherwise",22
"owners",22
"path",22
"quote",22
"reader",22
"sea",22
"seasons",22
"sets",22
"smart",22
"soul",22
"speech",22
"split",22
"struggling",22
"tables",22
"thick",22
"visiting",22
"worship",22
"yall",22
"yellow",22
"youth",22
"zone",22
"academy",21
"admitted",21
"adults",21
"affect",21
"alcohol",21
"alive",21
"allowing",21
"answered",21
"appropriate",21
"bacon",21
"becomes",21
"border",21
"careful",21
"chairman",21
"chase",21
"checked",21
"comedy",21
"concerns",21
"conservative",21
"creation",21
"delicious",21
"demand",21
"directed",21
"dropped",21
"effective",21
"eggs",21
"encourage",21
"entirely",21
"explained",21
"fairly",21
"fingers",21
"foreign",21
"gain",21
"generally",21
"germany",21
"giants",21
"grab",21
"heights",21
"honor",21
"host",21
"humans",21
"ink",21
"invited",21
"italy",21
"japanese",21
"jazz",21
"jeff",21
"kinda",21
"layer",21
"let’s",21
"lies",21
"listed",21
"master",21
"meanwhile",21
"memorial",21
"mixture",21
"offering",21
"operating",21
"operation",21
"orlando",21
"pages",21
"pension",21
"performing",21
"personally",21
"plays",21
"prove",21
"related",21
"religious",21
"requires",21
"restaurants",21
"rick",21
"rooms",21
"sauce",21
"selection",21
"shoulder",21
"sides",21
"soccer",21
"somewhat",21
"suggest",21
"t",21
"theatre",21
"tony",21
"wanting",21
"william",21
"worlds",21
"worried",21
"admit",20
"adventure",20
"advertising",20
"afford",20
"ages",20
"allows",20
"alternative",20
"asks",20
"austin",20
"banks",20
"believed",20
"birds",20
"boost",20
"bout",20
"bush",20
"captain",20
"click",20
"consumer",20
"contracts",20
"cookies",20
"cups",20
"diego",20
"disappointed",20
"discover",20
"documentary",20
"e",20
"encouraged",20
"engaged",20
"feed",20
"female",20
"filling",20
"fired",20
"flour",20
"flying",20
"forces",20
"gov",20
"handle",20
"haven’t",20
"heading",20
"hide",20
"honest",20
"howard",20
"inches",20
"injuries",20
"investment",20
"iphone",20
"issued",20
"journal",20
"ladies",20
"lawyer",20
"leg",20
"makeup",20
"male",20
"material",20
"meal",20
"meetings",20
"messages",20
"mile",20
"minnesota",20
"mobile",20
"philadelphia",20
"population",20
"pork",20
"posting",20
"pot",20
"presentation",20
"print",20
"provides",20
"royal",20
"savings",20
"scale",20
"scheduled",20
"seats",20
"sept",20
"shirt",20
"significant",20
"signs",20
"somebody",20
"stupid",20
"suggestions",20
"surrounding",20
"swing",20
"taylor",20
"tears",20
"tight",20
"tip",20
"todays",20
"tournament",20
"turning",20
"urban",20
"vegas",20
"volume",20
"wake",20
"winners",20
"“’s",19
"actions",19
"activity",19
"advice",19
"aint",19
"ancient",19
"angry",19
"announcement",19
"assistant",19
"awareness",19
"awful",19
"ban",19
"barack",19
"besides",19
"blessed",19
"bottle",19
"branch",19
"breathe",19
"bro",19
"catholic",19
"choices",19
"circle",19
"cities",19
"claim",19
"client",19
"coal",19
"comfortable",19
"commercial",19
"committed",19
"concept",19
"cooked",19
"cookie",19
"corporate",19
"criminal",19
"cry",19
"decide",19
"devices",19
"directly",19
"drove",19
"earned",19
"eastern",19
"editor",19
"emergency",19
"equal",19
"era",19
"established",19
"evil",19
"featuring",19
"fix",19
"flash",19
"freshman",19
"glasses",19
"grateful",19
"gun",19
"hang",19
"hat",19
"heads",19
"holidays",19
"honey",19
"immediate",19
"incident",19
"ingredients",19
"initial",19
"initially",19
"islamic",19
"joke",19
"journey",19
"jury",19
"las",19
"leadership",19
"located",19
"masters",19
"materials",19
"miller",19
"moon",19
"musical",19
"naturally",19
"newark",19
"nick",19
"ny",19
"occupy",19
"offense",19
"permanent",19
"plate",19
"politics",19
"prefer",19
"presence",19
"prevent",19
"prince",19
"properly",19
"publishing",19
"remaining",19
"represents",19
"saved",19
"scores",19
"seattle",19
"serving",19
"shares",19
"shift",19
"smooth",19
"statements",19
"staying",19
"strategy",19
"stress",19
"studies",19
"suck",19
"suffer",19
"suggested",19
"suicide",19
"theater",19
"therefore",19
"tied",19
"tools",19
"topic",19
"transportation",19
"traveling",19
"tuned",19
"uses",19
"views",19
"walls",19
"woods",19
"yard",19
"youd",19
"academic",18
"accounts",18
"affected",18
"africa",18
"agencies",18
"agents",18
"alex",18
"animal",18
"apply",18
"atlantic",18
"attend",18
"authority",18
"babies",18
"bars",18
"basketball",18
"bathroom",18
"believes",18
"birth",18
"brad",18
"brief",18
"broncos",18
"buddy",18
"burning",18
"category",18
"collins",18
"colour",18
"communication",18
"confidence",18
"connected",18
"corp",18
"crisis",18
"crying",18
"cutting",18
